iter	Logloss
0	0.6795962897
1	0.6667304496
2	0.6541761093
3	0.6424041879
4	0.6302738943
5	0.6185998415
6	0.6077894685
7	0.5972633192
8	0.586776968
9	0.5769534144
10	0.5671981835
11	0.5579709207
12	0.5487823212
13	0.5401343255
14	0.5320117255
15	0.523507298
16	0.5153529579
17	0.5073853133
18	0.4998618037
19	0.4927212942
20	0.485694391
21	0.4789919257
22	0.4722590443
23	0.466328254
24	0.4601113485
25	0.4543082753
26	0.448498544
27	0.4427297078
28	0.4375721436
29	0.4322255004
30	0.4271269902
31	0.4219908004
32	0.4172058329
33	0.412735732
34	0.4083231341
35	0.4038240169
36	0.3994337393
37	0.3954934604
38	0.3915170908
39	0.3878391693
40	0.3842651693
41	0.3810809412
42	0.3773162734
43	0.373939032
44	0.3707636942
45	0.3676056451
46	0.3645193613
47	0.3616314627
48	0.3587094786
49	0.3557062336
50	0.3529012604
51	0.3502222264
52	0.3477862559
53	0.3452120514
54	0.3427999144
55	0.3403518003
56	0.3381487926
57	0.3358673237
58	0.3334685789
59	0.3313530363
60	0.3292107094
61	0.3270274117
62	0.3250429154
63	0.3232361866
64	0.321245486
65	0.3193393754
66	0.3174922053
67	0.3158631872
68	0.3142612371
69	0.3127216513
70	0.3110676459
71	0.3095831987
72	0.3078837772
73	0.3063531006
74	0.3047890382
75	0.3033286892
76	0.3020926587
77	0.3007931857
78	0.2995357428
79	0.2983428962
80	0.2970461471
81	0.2959086093
82	0.2947241423
83	0.2936691137
84	0.2926273827
85	0.2914085085
86	0.2903707498
87	0.2892235462
88	0.2882260585
89	0.2872686526
90	0.2862971358
91	0.2854337587
92	0.284485716
93	0.2836503715
94	0.2827410298
95	0.2819302377
96	0.2810563057
97	0.2803091262
98	0.2794510076
99	0.2786688345
100	0.2779343662
101	0.2772718145
102	0.276588626
103	0.2758952799
104	0.2751809188
105	0.274518594
106	0.2738704559
107	0.2732580869
108	0.272482591
109	0.2719455055
110	0.2712083134
111	0.2705954336
112	0.269887674
113	0.2692585459
114	0.2686530053
115	0.2680958316
116	0.2675508205
117	0.2670182937
118	0.2663811265
119	0.2658238582
120	0.2652652091
121	0.2648239304
122	0.2642714099
123	0.2637602953
124	0.2632884871
125	0.2627845604
126	0.2623031998
127	0.2618441595
128	0.2614427924
129	0.2609780585
130	0.2605395982
131	0.2600755264
132	0.2595942793
133	0.2591408002
134	0.2587165454
135	0.2583420004
136	0.2579610053
137	0.2575297517
138	0.2571705094
139	0.25675087
140	0.2564153287
141	0.2560251595
142	0.2557020457
143	0.2553298084
144	0.2550052759
145	0.2546513488
146	0.2543564379
147	0.2540414766
148	0.253708243
149	0.2533762011
150	0.2530748778
151	0.2527012786
152	0.2523862228
153	0.2519774597
154	0.2516899826
155	0.2514045484
156	0.2510540639
157	0.2507436045
158	0.2504157996
159	0.2501570929
160	0.2498741555
161	0.2496000705
162	0.2493311683
163	0.249033458
164	0.2487775507
165	0.2485418641
166	0.2482897022
167	0.2479685745
168	0.2477259648
169	0.2475166274
170	0.2472675487
171	0.2470525934
172	0.2467885337
173	0.2465509177
174	0.2463348653
175	0.2461084095
176	0.2459281263
177	0.2457379502
178	0.2455058008
179	0.2453070183
180	0.2451274917
181	0.2449522967
182	0.2447774422
183	0.2445916168
184	0.2444098014
185	0.2442307855
186	0.2440479676
187	0.2438567513
188	0.2436752575
189	0.2434814119
190	0.243287396
191	0.2431089098
192	0.2429571889
193	0.2427819372
194	0.2426094849
195	0.2424503114
196	0.242253269
197	0.2421015482
198	0.2419539698
199	0.2418136738
200	0.2416652442
201	0.2415128613
202	0.2413401821
203	0.2411983918
204	0.2410242561
205	0.2408349502
206	0.2406960919
207	0.2405769245
208	0.2404198316
209	0.2402754877
210	0.2401233696
211	0.2399903751
212	0.2398314663
213	0.2396734655
214	0.2395198341
215	0.2393876151
216	0.2392646268
217	0.2391612727
218	0.2390333853
219	0.2389035307
220	0.2387670746
221	0.2386623586
222	0.2385450828
223	0.2384283933
224	0.2382860167
225	0.238170954
226	0.2380691321
227	0.2379598385
228	0.2378495803
229	0.2377284268
230	0.2375805647
231	0.2374767945
232	0.2373431379
233	0.2372477472
234	0.2371461712
235	0.2370480946
236	0.2369400495
237	0.2368295265
238	0.236716412
239	0.2366091425
240	0.2365191238
241	0.236411022
242	0.2362997045
243	0.2362115585
244	0.2361148438
245	0.2360093144
246	0.2359127699
247	0.2358241888
248	0.2357385207
249	0.2356624806
250	0.2355771341
251	0.235490104
252	0.2353868256
253	0.2352803694
254	0.2351906723
255	0.2351025074
256	0.2350275454
257	0.2349531888
258	0.2348718523
259	0.2347883595
260	0.2347103143
261	0.2346212603
262	0.2345213867
263	0.2344382911
264	0.2343314566
265	0.2342656119
266	0.2341800762
267	0.2341130398
268	0.2340456441
269	0.2339493076
270	0.233872927
271	0.2337908528
272	0.233697978
273	0.2336224107
274	0.233554334
275	0.2334832875
276	0.2334058476
277	0.2333360307
278	0.2332630738
279	0.233193654
280	0.233125199
281	0.2330586544
282	0.2329923179
283	0.2329249032
284	0.232860288
285	0.2327871987
286	0.2327219025
287	0.2326528611
288	0.2325769723
289	0.2325053962
290	0.2324428239
291	0.2323665567
292	0.2322862039
293	0.2322244638
294	0.2321533417
295	0.2320811036
296	0.2320175098
297	0.231953481
298	0.2318952025
299	0.2318192758
300	0.2317556064
301	0.2316995977
302	0.2316353797
303	0.2315770256
304	0.2315150207
305	0.2314582365
306	0.2314050651
307	0.2313355508
308	0.2312767048
309	0.2312168942
310	0.2311422916
311	0.2310702237
312	0.2310000095
313	0.2309439819
314	0.2308819203
315	0.2308205964
316	0.230752236
317	0.2307064795
318	0.2306470849
319	0.2305930435
320	0.2305395316
321	0.2304805911
322	0.2304267766
323	0.2303742862
324	0.2303265436
325	0.2302735236
326	0.2302221492
327	0.2301778114
328	0.2301256993
329	0.2300715254
330	0.230022383
331	0.2299696657
332	0.2299104981
333	0.2298592372
334	0.229811192
335	0.2297617091
336	0.2297083108
337	0.2296598494
338	0.2296103098
339	0.2295758269
340	0.2295313756
341	0.2294704678
342	0.2294223469
343	0.2293793899
344	0.2293240811
345	0.229289882
346	0.2292453739
347	0.2292013387
348	0.2291594788
349	0.2291035647
350	0.22904487
351	0.2289929093
352	0.2289476824
353	0.2288995237
354	0.2288532754
355	0.228803244
356	0.2287577901
357	0.2287076074
358	0.2286471725
359	0.2286069205
360	0.2285646066
361	0.2285210632
362	0.2284766497
363	0.2284345061
364	0.2283944999
365	0.2283589199
366	0.2283093614
367	0.2282646263
368	0.2282163919
369	0.2281760263
370	0.2281369659
371	0.2280914553
372	0.2280443748
373	0.2279984859
374	0.2279599929
375	0.2279187572
376	0.2278800373
377	0.2278372883
378	0.2277893566
379	0.2277496152
380	0.227706469
381	0.2276592939
382	0.2276192499
383	0.2275829133
384	0.2275406183
385	0.2274939728
386	0.2274490297
387	0.2274081344
388	0.2273590299
389	0.2273156568
390	0.2272716405
391	0.2272337339
392	0.227195014
393	0.2271566345
394	0.2271186712
395	0.2270836587
396	0.2270496676
397	0.227004838
398	0.226960311
399	0.2269182241
400	0.2268806012
401	0.2268365093
402	0.2267982623
403	0.226758729
404	0.2267188173
405	0.2266785652
406	0.2266378024
407	0.226606346
408	0.2265690069
409	0.226534978
410	0.2264994548
411	0.2264637235
412	0.2264314915
413	0.2263974816
414	0.2263630176
415	0.2263215927
416	0.2262813974
417	0.226245458
418	0.2262101996
419	0.2261643864
420	0.2261322112
