iter	Logloss
0	0.6672417213
1	0.6420618633
2	0.6185230708
3	0.597307323
4	0.5771017334
5	0.5575516932
6	0.5406272131
7	0.5228036561
8	0.5070576584
9	0.4921940968
10	0.4780450726
11	0.4653500633
12	0.4534922916
13	0.4427004739
14	0.4318626491
15	0.4217952854
16	0.4128494164
17	0.4037849757
18	0.395654128
19	0.3879095535
20	0.3804704737
21	0.3734783149
22	0.3668378708
23	0.3609866992
24	0.355224882
25	0.3498862801
26	0.3446966376
27	0.3396533798
28	0.335114286
29	0.330895753
30	0.3269159383
31	0.3232772409
32	0.3196393095
33	0.3161159279
34	0.3127788947
35	0.3100272298
36	0.3067659319
37	0.3038076601
38	0.3009409133
39	0.2986607477
40	0.2960262075
41	0.2935904005
42	0.2916111757
43	0.2896926412
44	0.2876385323
45	0.2857999891
46	0.2840617595
47	0.282232324
48	0.2808024193
49	0.2789773462
50	0.2772357756
51	0.2757528626
52	0.2744038854
53	0.273049801
54	0.2717211887
55	0.2705979064
56	0.2694643885
57	0.2681849753
58	0.2669066688
59	0.2659481357
60	0.2648953113
61	0.2639731243
62	0.2629701375
63	0.261963533
64	0.2610596255
65	0.2601080722
66	0.2592975623
67	0.2585103752
68	0.2577827932
69	0.2571392031
70	0.2564174305
71	0.2557240879
72	0.2550505356
73	0.2542812023
74	0.2535362559
75	0.2527148507
76	0.2521775963
77	0.2516187854
78	0.2510356515
79	0.2504045953
80	0.2498721928
81	0.2494103332
82	0.2488971039
83	0.2484389045
84	0.2480124122
85	0.2474049553
86	0.2469650779
87	0.2464609564
88	0.2460937926
89	0.245686665
90	0.2452778563
91	0.2449073302
92	0.2445696177
93	0.2441836424
94	0.2437815369
95	0.2434049034
96	0.2430855768
97	0.2427471834
98	0.2424314957
99	0.2420416048
100	0.2417156814
101	0.2414467457
102	0.2411436131
103	0.2408726345
104	0.2405454769
105	0.2402533673
106	0.239998753
107	0.2397400316
108	0.2394376651
109	0.2392133321
110	0.2389411831
111	0.2386956766
112	0.2384608526
113	0.2382696737
114	0.2379778621
115	0.2377506137
116	0.2375603712
117	0.2372825404
118	0.2370676557
119	0.2368611978
120	0.2366057323
121	0.2364200436
122	0.2362493573
123	0.2360663925
124	0.235916518
125	0.2357392136
126	0.235540374
127	0.2353481098
128	0.235159442
129	0.2349902027
130	0.2348236022
131	0.2346554056
132	0.2344864643
133	0.2342972006
134	0.2341529227
135	0.2339897695
136	0.2338359156
137	0.2336835087
138	0.2335452105
139	0.2333757371
140	0.2332125201
141	0.2330759242
142	0.2329282628
143	0.2328053074
144	0.2326652003
145	0.2325274979
146	0.2323628126
147	0.2322111292
148	0.232044018
149	0.231901102
150	0.2318003202
151	0.2316873025
152	0.2315576652
153	0.2314356035
154	0.2313016251
155	0.2311875647
156	0.2310768878
157	0.2309558688
158	0.2308282744
159	0.2307189807
160	0.2305909606
161	0.2304858378
162	0.2303929296
163	0.2302895943
164	0.2301521047
165	0.2300696875
166	0.2299695442
167	0.229867592
168	0.2297561278
169	0.2296570271
170	0.2295703753
171	0.2294831063
172	0.2293765364
173	0.2292835218
174	0.2291849532
175	0.2290890233
176	0.228994966
177	0.2289030155
178	0.2288170871
179	0.2287158585
180	0.2286138638
181	0.2285391712
182	0.2284449012
183	0.228363399
184	0.2282775984
185	0.2281920105
186	0.2281053161
187	0.2280227287
188	0.2279421416
189	0.2278546172
190	0.2277590278
191	0.2276644385
192	0.2275856389
193	0.2275029664
194	0.227427976
195	0.2273443884
196	0.227258609
197	0.2271767877
198	0.2271027761
199	0.2270178905
200	0.2269414104
201	0.2268649091
202	0.2268000691
203	0.2267357186
204	0.2266551954
205	0.2265917599
206	0.2265187272
207	0.2264444602
208	0.2263780881
209	0.2263194832
210	0.2262440033
211	0.2261784611
212	0.2261073011
213	0.2260405885
214	0.2259620868
215	0.2258859685
216	0.2258145744
217	0.2257462658
218	0.2256686153
219	0.2256024986
220	0.2255485327
221	0.2254808838
222	0.2254079149
223	0.2253552046
224	0.2252881728
225	0.2252290997
226	0.2251609188
227	0.2250995901
228	0.2250414746
229	0.2249679524
230	0.2248940685
231	0.224830931
232	0.2247727729
233	0.224717743
234	0.2246537756
235	0.2245902763
236	0.2245092423
237	0.2244427425
238	0.2243873934
239	0.2243176378
240	0.2242713753
241	0.2242172178
242	0.2241438234
243	0.2240988589
244	0.2240437226
245	0.2239833302
246	0.2239238953
247	0.2238584808
248	0.2238032381
249	0.2237507193
250	0.2236963065
251	0.2236385953
252	0.223577607
253	0.223529025
254	0.2234756336
255	0.223421689
256	0.2233723409
257	0.2233058411
258	0.2232555566
259	0.2232046125
260	0.223156456
261	0.2231082995
262	0.2230543123
263	0.2230043258
264	0.2229485085
265	0.2228837112
266	0.2228349801
267	0.22279225
268	0.2227430083
269	0.2226879571
270	0.2226428649
271	0.2225877499
272	0.2225291875
273	0.2224788818
