iter	Passed	Remaining
0	61	305748
1	124	311132
2	186	310748
3	249	311483
4	310	309847
5	372	310253
6	432	308596
7	493	308239
8	550	305212
9	611	305081
10	671	304625
11	728	302646
12	788	302610
13	853	304037
14	909	302254
15	966	300914
16	1029	301877
17	1088	301324
18	1149	301359
19	1208	300899
20	1270	301259
21	1330	301026
22	1392	301275
23	1454	301490
24	1515	301603
25	1577	301863
26	1640	302169
27	1700	301899
28	1762	302093
29	1825	302471
30	1887	302497
31	1949	302695
32	2012	302906
33	2073	302910
34	2134	302732
35	2196	302870
36	2258	302925
37	2320	303051
38	2382	303097
39	2446	303372
40	2507	303333
41	2571	303550
42	2635	303838
43	2694	303491
44	2755	303427
45	2816	303278
46	2885	304120
47	2945	303878
48	3005	303655
49	3064	303398
50	3129	303667
51	3190	303558
52	3250	303364
53	3314	303593
54	3373	303336
55	3432	303003
56	3492	302861
57	3551	302648
58	3608	302216
59	3670	302212
60	3734	302389
61	3796	302408
62	3860	302499
63	3918	302209
64	3986	302697
65	4049	302759
66	4114	302901
67	4171	302541
68	4232	302444
69	4296	302630
70	4364	303018
71	4431	303342
72	4493	303310
73	4557	303382
74	4626	303829
75	4683	303417
76	4744	303337
77	4802	303049
78	4873	303555
79	4932	303327
80	4993	303246
81	5051	302989
82	5121	303390
83	5185	303487
84	5250	303616
85	5313	303585
86	5378	303727
87	5444	303904
88	5513	304218
89	5576	304244
90	5631	303813
91	5689	303526
92	5751	303491
93	5818	303667
94	5876	303406
95	5939	303424
96	6004	303513
97	6061	303177
98	6117	302870
99	6174	302553
100	6238	302612
101	6302	302651
102	6369	302846
103	6426	302531
104	6491	302644
105	6547	302314
106	6601	301896
107	6658	301592
108	6727	301859
109	6790	301889
110	6850	301742
111	6919	301977
112	6985	302087
113	7044	301928
114	7100	301623
115	7166	301720
116	7225	301570
117	7293	301761
118	7355	301715
119	7424	301945
120	7491	302087
121	7558	302227
122	7621	302213
123	7682	302107
124	7735	301671
125	7800	301757
126	7855	301432
127	7923	301578
128	7986	301574
129	8050	301584
130	8116	301672
131	8175	301511
132	8238	301487
133	8295	301229
134	8357	301183
135	8416	301009
136	8476	300899
137	8530	300551
138	8590	300415
139	8651	300325
140	8714	300305
141	8779	300357
142	8840	300266
143	8900	300132
144	8963	300127
145	9022	299955
146	9087	300021
147	9140	299655
148	9200	299530
149	9272	299797
150	9340	299932
151	9405	299987
152	9463	299795
153	9517	299490
154	9575	299299
155	9631	299061
156	9686	298808
157	9749	298768
158	9813	298782
159	9875	298729
160	9942	298838
161	10007	298867
162	10057	298460
163	10120	298425
164	10188	298557
165	10250	298513
166	10316	298559
167	10377	298464
168	10428	298120
169	10485	297900
170	10545	297803
171	10603	297630
172	10660	297434
173	10725	297479
174	10790	297503
175	10856	297559
176	10918	297515
177	10981	297475
178	11043	297424
179	11106	297404
180	11161	297164
181	11223	297116
182	11280	296917
183	11345	296965
184	11404	296821
185	11460	296628
186	11519	296501
187	11576	296316
188	11640	296320
189	11710	296453
190	11768	296298
191	11834	296354
192	11892	296206
193	11942	295850
194	12008	295890
195	12059	295592
196	12113	295331
197	12172	295224
198	12249	295521
199	12303	295283
200	12370	295344
201	12436	295407
202	12498	295335
203	12552	295104
204	12610	294951
205	12664	294734
206	12722	294590
207	12781	294462
208	12835	294223
209	12889	294008
210	12958	294106
211	13015	293950
212	13080	293984
213	13136	293782
214	13193	293642
215	13254	293569
216	13314	293476
217	13377	293437
218	13434	293280
219	13499	293311
220	13560	293238
221	13625	293244
222	13694	293351
223	13747	293115
224	13809	293076
225	13869	292971
226	13929	292887
227	13990	292821
228	14045	292624
229	14111	292654
230	14177	292695
231	14232	292498
232	14300	292567
233	14370	292693
234	14424	292482
235	14480	292314
236	14548	292374
237	14605	292241
238	14670	292242
239	14733	292221
240	14794	292147
241	14864	292261
242	14929	292259
243	14988	292145
244	15053	292167
245	15111	292028
246	15159	291715
247	15227	291773
248	15284	291632
249	15335	291380
250	15398	291353
251	15469	291464
252	15525	291303
253	15587	291252
254	15647	291159
255	15712	291168
256	15776	291167
257	15830	290960
258	15893	290931
259	15946	290724
260	16007	290656
261	16062	290479
262	16119	290331
263	16187	290385
264	16246	290290
265	16310	290284
266	16363	290065
267	16430	290110
268	16483	289894
269	16547	289892
270	16610	289854
271	16669	289761
272	16723	289569
273	16787	289550
274	16855	289604
275	16905	289352
276	16962	289225
277	17019	289094
278	17080	289020
279	17144	289007
280	17206	288963
281	17268	288903
282	17330	288869
283	17394	288842
284	17448	288663
285	17504	288523
286	17562	288396
287	17623	288332
288	17681	288231
289	17738	288104
290	17799	288033
291	17855	287881
292	17914	287793
293	17972	287674
294	18028	287531
295	18089	287469
296	18152	287452
297	18217	287447
298	18270	287262
299	18342	287368
300	18408	287377
301	18470	287339
302	18534	287307
303	18591	287195
304	18651	287111
305	18707	286975
306	18761	286802
307	18812	286581
308	18863	286374
309	18921	286259
310	18982	286206
