iter	Passed	Remaining
0	55	1104492
1	109	1096682
2	165	1103085
3	218	1092397
4	274	1099632
5	326	1089103
6	380	1086420
7	435	1088721
8	490	1089960
9	542	1083840
10	596	1083817
11	653	1088430
12	710	1092855
13	765	1093438
14	815	1086868
15	869	1086151
16	925	1088003
17	981	1089728
18	1037	1091347
19	1092	1091075
20	1149	1093804
21	1205	1095023
22	1264	1098093
23	1318	1097102
24	1374	1098538
25	1424	1094480
26	1478	1093464
27	1532	1092756
28	1589	1094558
29	1644	1094472
30	1698	1094255
31	1756	1096276
32	1807	1093816
33	1860	1092372
34	1916	1093260
35	1975	1095343
36	2028	1094270
37	2083	1094646
38	2139	1094902
39	2192	1094200
40	2248	1094528
41	2300	1093127
42	2357	1093993
43	2415	1095349
44	2470	1095722
45	2527	1096258
46	2582	1096502
47	2640	1097615
48	2696	1098015
49	2753	1098702
50	2809	1098851
51	2864	1098926
52	2921	1099436
53	2978	1100272
54	3035	1100858
55	3091	1100923
56	3144	1100042
57	3200	1100459
58	3256	1100681
59	3310	1100185
60	3368	1101092
61	3424	1101155
62	3480	1101367
63	3536	1101650
64	3594	1102408
65	3652	1103081
66	3709	1103702
67	3765	1103679
68	3821	1103972
69	3875	1103511
70	3928	1102796
71	3982	1102320
72	4042	1103615
73	4099	1103828
74	4155	1104000
75	4212	1104433
76	4268	1104433
77	4322	1103915
78	4377	1103811
79	4436	1104662
80	4490	1104215
81	4547	1104633
82	4600	1103936
83	4655	1103706
84	4707	1103034
85	4763	1103124
86	4824	1104151
87	4883	1105081
88	4943	1106013
89	4998	1105688
90	5053	1105608
91	5108	1105333
92	5167	1106020
93	5225	1106568
94	5282	1106851
95	5334	1106011
96	5394	1106909
97	5449	1106753
98	5509	1107459
99	5564	1107363
100	5624	1108104
101	5673	1106826
102	5727	1106418
103	5784	1106533
104	5839	1106532
105	5893	1106063
106	5947	1105679
107	5999	1105057
108	6054	1104792
109	6106	1104099
110	6163	1104292
111	6218	1104255
112	6276	1104629
113	6333	1104890
114	6394	1105684
115	6448	1105348
116	6500	1104780
117	6554	1104354
118	6611	1104604
119	6667	1104527
120	6726	1105017
121	6778	1104468
122	6836	1104758
123	6897	1105535
124	6952	1105514
125	7009	1105538
126	7061	1105061
127	7115	1104692
128	7166	1103920
129	7228	1104913
130	7284	1104779
131	7342	1105109
132	7404	1106117
133	7461	1106219
134	7524	1107268
135	7577	1106770
136	7634	1106951
137	7695	1107598
138	7749	1107271
139	7802	1106798
140	7855	1106335
141	7914	1106851
142	7971	1106906
143	8027	1106900
144	8082	1106699
145	8134	1106216
146	8184	1105397
147	8239	1105264
148	8295	1105231
149	8355	1105700
150	8406	1104978
151	8472	1106286
152	8532	1106853
153	8595	1107729
154	8656	1108300
155	8713	1108367
156	8774	1108975
157	8832	1109245
158	8883	1108595
159	8936	1108178
160	8993	1108175
161	9049	1108116
162	9109	1108584
163	9162	1108183
164	9222	1108690
165	9282	1109055
166	9339	1109170
167	9399	1109627
168	9457	1109729
169	9509	1109285
170	9568	1109540
171	9627	1109874
172	9685	1109981
173	9742	1110083
174	9797	1109876
175	9852	1109790
176	9902	1109066
177	9958	1108964
178	10012	1108691
179	10073	1109154
180	10127	1108926
181	10179	1108409
182	10232	1108046
183	10284	1107623
184	10344	1107975
185	10396	1107479
186	10450	1107234
187	10508	1107439
188	10568	1107795
189	10630	1108351
190	10691	1108857
191	10747	1108810
192	10798	1108194
193	10855	1108250
194	10911	1108263
195	10974	1108897
196	11037	1109507
197	11092	1109370
198	11147	1109201
199	11201	1108916
200	11261	1109237
201	11317	1109218
202	11373	1109144
203	11426	1108829
204	11485	1109075
205	11551	1109909
206	11604	1109638
207	11662	1109778
208	11717	1109565
209	11772	1109402
210	11832	1109713
211	11890	1109844
212	11946	1109755
213	12003	1109798
214	12066	1110423
215	12123	1110414
216	12176	1110124
217	12228	1109653
218	12287	1109838
219	12341	1109617
220	12400	1109807
221	12452	1109397
222	12505	1109019
223	12561	1108987
224	12618	1109041
225	12675	1109063
226	12732	1109082
227	12784	1108632
228	12837	1108342
229	12893	1108262
230	12951	1108354
231	13007	1108353
232	13066	1108534
233	13119	1108243
234	13172	1107877
235	13222	1107369
236	13278	1107228
237	13337	1107452
238	13390	1107163
239	13457	1107974
240	13513	1107974
241	13569	1107873
242	13623	1107632
243	13673	1107130
244	13730	1107134
245	13786	1107035
246	13840	1106839
247	13896	1106766
248	13946	1106275
249	13997	1105771
250	14047	1105295
251	14102	1105168
252	14163	1105449
253	14214	1105059
254	14272	1105163
255	14323	1104712
256	14372	1104085
257	14423	1103696
258	14479	1103641
259	14532	1103332
260	14584	1102982
261	14634	1102513
262	14695	1102811
263	14751	1102790
264	14811	1103055
265	14859	1102389
266	14918	1102605
267	14968	1102094
268	15016	1101471
269	15076	1101676
270	15135	1101911
271	15191	1101849
272	15245	1101616
273	15305	1101882
274	15357	1101568
275	15408	1101114
276	15465	1101179
277	15516	1100797
278	15575	1100940
279	15630	1100865
280	15682	1100494
281	15731	1099973
282	15786	1099838
283	15841	1099734
284	15896	1099634
285	15949	1099431
286	16005	1099382
287	16057	1099053
288	16121	1099534
289	16187	1100162
290	16240	1099940
291	16296	1099871
292	16347	1099525
293	16401	1099318
294	16466	1099938
295	16523	1099932
296	16573	1099509
297	16630	1099531
298	16691	1099771
299	16746	1099678
300	16807	1099963
301	16858	1099606
302	16916	1099704
303	16969	1099473
304	17026	1099446
305	17077	1099126
306	17127	1098652
307	17192	1099187
308	17247	1099117
309	17307	1099291
310	17367	1099531
311	17428	1099808
312	17490	1100082
313	17545	1100025
314	17603	1100070
315	17661	1100180
316	17713	1099828
317	17763	1099459
318	17820	1099422
319	17876	1099402
320	17932	1099367
321	17994	1099656
322	18047	1099415
323	18103	1099386
324	18159	1099367
325	18219	1099536
326	18280	1099778
327	18326	1099129
328	18378	1098828
329	18433	1098733
330	18483	1098326
331	18538	1098268
332	18598	1098400
333	18659	1098662
334	18714	1098539
335	18772	1098653
336	18834	1098963
337	18899	1099400
338	18952	1099190
339	18996	1098461
340	19051	1098325
341	19110	1098442
342	19156	1097819
343	19204	1097332
344	19258	1097175
345	19302	1096424
346	19355	1096220
347	19408	1095999
348	19455	1095471
349	19518	1095842
350	19579	1096048
351	19642	1096386
352	19693	1096112
353	19743	1095702
354	19802	1095851
355	19862	1095999
356	19915	1095777
357	19965	1095428
358	20030	1095895
359	20082	1095635
360	20135	1095418
361	20186	1095104
362	20240	1094942
363	20292	1094689
364	20351	1094791
365	20398	1094294
366	20457	1094384
367	20514	1094384
368	20570	1094378
369	20626	1094331
370	20672	1093731
371	20725	1093555
372	20774	1093156
373	20831	1093170
374	20882	1092871
375	20937	1092760
376	20988	1092475
377	21043	1092357
378	21096	1092184
379	21157	1092371
380	21210	1092190
381	21269	1092316
382	21316	1091826
383	21361	1091241
384	21414	1091014
385	21469	1090946
386	21527	1090991
387	21580	1090831
388	21634	1090670
389	21689	1090593
390	21743	1090441
391	21793	1090107
392	21852	1090254
393	21909	1090255
394	21961	1090011
395	22016	1089935
396	22063	1089453
397	22120	1089440
398	22176	1089405
399	22231	1089321
400	22290	1089459
401	22348	1089505
402	22407	1089639
403	22459	1089419
404	22519	1089576
405	22578	1089642
406	22645	1090153
407	22693	1089755
408	22747	1089581
409	22798	1089312
410	22851	1089130
411	22902	1088868
412	22955	1088703
413	23004	1088341
414	23053	1087961
415	23106	1087796
416	23165	1087896
417	23221	1087835
418	23278	1087880
419	23335	1087886
420	23384	1087537
421	23438	1087398
422	23488	1087093
423	23539	1086793
424	23601	1087056
425	23654	1086892
426	23709	1086784
427	23759	1086518
428	23815	1086470
429	23872	1086465
430	23926	1086339
431	23982	1086308
432	24038	1086267
433	24092	1086150
434	24147	1086066
435	24204	1086077
436	24261	1086086
437	24313	1085886
438	24362	1085563
439	24417	1085480
440	24469	1085260
441	24527	1085303
442	24574	1084878
443	24618	1084344
444	24675	1084331
445	24731	1084323
446	24790	1084423
447	24842	1084212
448	24895	1084019
449	24957	1084280
450	25012	1084170
451	25074	1084401
452	25128	1084280
453	25182	1084191
454	25230	1083818
455	25286	1083765
456	25341	1083706
457	25400	1083810
458	25465	1084141
459	25523	1084194
460	25574	1083932
461	25622	1083594
462	25669	1083170
463	25732	1083429
464	25793	1083592
465	25849	1083572
466	25903	1083434
467	25959	1083414
468	26014	1083356
469	26068	1083223
470	26121	1083059
471	26171	1082794
472	26231	1082925
473	26288	1082913
474	26346	1082980
475	26397	1082738
476	26448	1082500
477	26500	1082306
478	26561	1082476
479	26615	1082352
480	26671	1082332
481	26727	1082313
482	26780	1082135
483	26831	1081919
484	26885	1081802
485	26938	1081646
486	26995	1081654
487	27044	1081319
488	27091	1080946
489	27139	1080594
490	27188	1080268
491	27234	1079844
492	27282	1079525
493	27345	1079746
494	27398	1079595
495	27454	1079592
496	27513	1079669
497	27564	1079452
498	27626	1079636
499	27688	1079854
500	27739	1079637
501	27793	1079525
502	27848	1079447
503	27902	1079339
504	27957	1079289
505	28012	1079191
506	28066	1079078
507	28120	1078980
508	28171	1078769
509	28228	1078788
510	28284	1078740
511	28339	1078686
512	28400	1078844
513	28453	1078680
514	28512	1078769
515	28567	1078682
516	28620	1078550
517	28680	1078680
518	28744	1078926
519	28801	1078931
520	28857	1078920
521	28914	1078909
522	28967	1078763
523	29014	1078408
524	29062	1078086
525	29117	1077998
526	29166	1077735
